wkt_geom,id,amenity,name,source,student:count,municipality,idp:camp_site,idp:status_20150427
"Polygon ((85.30531200000000069 27.7085802000000001, 85.30534880000000442 27.70863410000000115, 85.30542479999999728 27.70869619999999856, 85.30541549999999518 27.70871430000000046, 85.30522969999999816 27.70881669999999986, 85.30520409999999742 27.70876099999999909, 85.30495279999999525 27.70880520000000047, 85.304903699999997 27.70867730000000151, 85.30509870000000205 27.70862620000000121, 85.30531200000000069 27.7085802000000001))",169078006,school,Jaljala Shishu Sadan Secondary School,OpenDRI survey,400,,,
"Polygon ((85.30660899999999458 27.70363370000000103, 85.30659579999999664 27.70357729999999918, 85.3068808999999959 27.70352829999999855, 85.30689409999999384 27.70358459999999923, 85.30660899999999458 27.70363370000000103))",169429526,school,Nava Adarsha Secondary School,OpenDRI survey,287,,,
"Polygon ((85.31187819999999533 27.67342049999999887, 85.31185089999999605 27.67334999999999923, 85.31196400000000324 27.67331569999999985, 85.31199119999999425 27.67338619999999949, 85.31187819999999533 27.67342049999999887))",170428974,hospital,Animal Hospital,,,,,
"Polygon ((85.30896260000000098 27.67475519999999989, 85.30909579999999437 27.67524080000000097, 85.30940130000000465 27.67528259999999918, 85.30976699999999369 27.67521640000000005, 85.30973480000000109 27.67490079999999963, 85.30954710000000318 27.67485459999999975, 85.30945839999999691 27.67465959999999825, 85.30937500000000284 27.67471769999999864, 85.30925969999999836 27.67472250000000145, 85.30918719999999666 27.67463419999999985, 85.30896260000000098 27.67475519999999989))",170430563,college,DAV College,,,,,
"Polygon ((85.30802319999999384 27.67378860000000174, 85.3081181000000015 27.67366979999999899, 85.30828870000000563 27.67357099999999903, 85.30833389999999383 27.67353089999999938, 85.30846440000000541 27.6734554000000017, 85.30899979999999516 27.67323719999999909, 85.30909459999999456 27.67341169999999906, 85.30911009999999806 27.67346919999999955, 85.30913189999999702 27.67366829999999922, 85.30915950000000691 27.67376420000000081, 85.30929100000000176 27.67411450000000173, 85.30902700000000038 27.67421099999999967, 85.30917639999999835 27.67457759999999922, 85.30893220000000099 27.67474350000000172, 85.30906579999999906 27.67523590000000056, 85.30883950000000482 27.67524480000000153, 85.30843480000000056 27.67445899999999881, 85.30823080000000402 27.6745328999999991, 85.30806090000000097 27.67455659999999895, 85.30803679999999645 27.67440960000000061, 85.30802169999999762 27.67426779999999908, 85.30802319999999384 27.67378860000000174))",170430565,school,DAV Sushil Kedia Vishwa Bharati School,OpenDRI survey,3000,,,
"Polygon ((85.36518820000000574 27.67546640000000124, 85.36510579999999493 27.67547060000000059, 85.3650779999999969 27.67548370000000091, 85.36481919999999946 27.6754862000000017, 85.36478289999999447 27.67523860000000013, 85.36495259999999519 27.67522329999999897, 85.36493640000000482 27.67510790000000043, 85.36495449999999607 27.67510659999999945, 85.36508990000000097 27.67509739999999852, 85.36509510000000489 27.6751402000000013, 85.365131599999998 27.67513770000000051, 85.3651471000000015 27.67522389999999888, 85.36527990000000443 27.67520379999999847, 85.36529819999999802 27.67523459999999957, 85.36536099999999294 27.67529839999999908, 85.36547299999999439 27.67542200000000108, 85.36542939999999646 27.67545110000000008, 85.36522420000000011 27.67545339999999854, 85.36518820000000574 27.67546640000000124))",171382518,school,Adarsha Janapremi Higher Secondary School,OpenDRI survey,1000,,,
"Polygon ((85.37198630000000321 27.6828308000000014, 85.37232880000000534 27.68274410000000074, 85.37237930000000574 27.68335009999999841, 85.37250600000000134 27.6845263000000017, 85.37246129999999766 27.6847473000000015, 85.37157379999999307 27.68480819999999909, 85.37082920000000286 27.68487920000000102, 85.37002309999999738 27.68492549999999852, 85.37004489999999635 27.68484079999999992, 85.36992759999999691 27.68460710000000091, 85.3700214999999929 27.68441490000000016, 85.37034400000000289 27.68414479999999855, 85.37029710000000193 27.68381760000000114, 85.37055519999999831 27.68351639999999847, 85.37111240000000123 27.68329310000000021, 85.37132939999999337 27.68304380000000009, 85.3716871000000026 27.68297099999999844, 85.37185719999999378 27.68295549999999849, 85.37198630000000321 27.6828308000000014))",171495941,school,SOS Hermann Gmeiner School,OpenDRI survey,850,,,
"Polygon ((85.5414901000000043 27.6197373000000006, 85.54160280000000682 27.61967309999999998, 85.5415598000000017 27.61961129999999898, 85.54154379999999946 27.61954000000000065, 85.5415883000000008 27.61942519999999845, 85.54147940000000006 27.61937130000000096, 85.54140700000000663 27.61952570000000051, 85.54140160000000037 27.6196136999999986, 85.5414901000000043 27.6197373000000006))",172099678,school,Training Block,,,,,
"Polygon ((85.53816720000000373 27.61871010000000126, 85.53817050000000677 27.61876949999999908, 85.53819769999999778 27.61876900000000035, 85.53820000000000334 27.61900819999999968, 85.53816659999999672 27.61900759999999977, 85.53816910000000462 27.61907959999999917, 85.53795859999999607 27.61908090000000016, 85.53792640000000347 27.61905850000000129, 85.53792509999999538 27.6190137, 85.53788810000000353 27.61901340000000005, 85.537888499999994 27.6189329999999984, 85.53792110000000548 27.61893350000000069, 85.53792149999999594 27.61887169999999969, 85.53788939999999741 27.61887169999999969, 85.53788969999999381 27.61878169999999955, 85.53791839999999524 27.61878139999999959, 85.53791839999999524 27.61874099999999999, 85.53794249999999977 27.61871250000000089, 85.53816720000000373 27.61871010000000126))",172106984,college,Pharmacy block,,,,,
"Polygon ((85.53816229999999621 27.61912909999999854, 85.53816229999999621 27.61918849999999992, 85.53819450000000302 27.61918620000000146, 85.53819849999999292 27.61941549999999879, 85.53816500000000644 27.61941909999999822, 85.53816500000000644 27.61948080000000161, 85.53803390000000206 27.61949200000000104, 85.53795049999999378 27.61949040000000011, 85.53791830000000118 27.61946659999999909, 85.53792359999999917 27.61942379999999986, 85.53788070000000232 27.61941189999999935, 85.53787930000000017 27.61936439999999848, 85.53791830000000118 27.61932870000000051, 85.53791560000000516 27.61927880000000002, 85.53788609999999437 27.61924790000000129, 85.53788659999999311 27.61921230000000094, 85.53792140000000188 27.61918620000000146, 85.53792090000000314 27.61914810000000031, 85.5379424000000057 27.61913150000000172, 85.53816229999999621 27.61912909999999854))",172107221,college,Civil and Geomatics Engineering,,,,,
